Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0aj2QKJvz6CePykmlTApiD,"Señorita","Justified","Justin Timberlake",2002-11-04,294866,67,false,skatterbrainz,2025-12-07T22:59:24Z,"","Jive",0.841,0.63,1,-5.356,1,0.0443,0.0725,0,0.0742,0.876,97.964,4
spotify:track:62l1ZGNoUlJlVwhwMKu2T6,"Simon Says","Internal Affairs","Pharoahe Monch",2019-10-18,173373,62,true,skatterbrainz,2025-12-07T22:59:25Z,"east coast hip hop","Trescadecaphobia Music",0.622,0.913,1,-3.701,1,0.462,0.141,0.0000271,0.12,0.546,92.222,4
spotify:track:0IVAlb0cFCH1cQ974iR1TU,"Ms. Fat Booty","Black On Both Sides","Mos Def",1999-10-12,223546,67,true,skatterbrainz,2025-12-07T22:59:29Z,"east coast hip hop,old school hip hop,hip hop","Rawkus Entertainment",0.782,0.589,1,-4.827,1,0.189,0.148,0,0.164,0.869,90.438,4
spotify:track:5Tl0HJvynZtKdSUMKbFVVX,"Hard Knock Life (Ghetto Anthem)","Vol.2... Hard Knock Life","JAY-Z",1998-11-29,238466,66,true,skatterbrainz,2025-12-07T22:59:37Z,"hip hop,east coast hip hop,rap","Roc Nation / Jay-Z",0.884,0.679,10,-5.857,0,0.282,0.0957,0.00209,0.0289,0.591,76.993,4
spotify:track:3oUphdZVPyrsprZ8FgbmQS,"I Need A Dollar","Good Things","Aloe Blacc",2010-09-28,243053,70,false,skatterbrainz,2025-12-07T22:59:54Z,"","Stones Throw Records",0.84,0.481,6,-7.123,0,0.0336,0.199,0,0.0873,0.955,95.497,4
spotify:track:33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II","The Infamous","Mobb Deep",1995-04-25,325506,78,true,skatterbrainz,2025-12-07T23:00:01Z,"east coast hip hop,old school hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,4
spotify:track:33yAEqzKXexYM3WlOYtTfQ,"D.A.N.C.E.","Justice","Justice",2007-06-11,242266,67,false,skatterbrainz,2025-12-07T23:00:39Z,"french house,new rave","Ed Banger Records",0.613,0.962,6,-5.07,0,0.278,0.034,0,0.824,0.496,113.015,4
spotify:track:3Y6XWs8xMlCngyIxNOFnsp,"Sound of da Police","Return of the Boom Bap","KRS-One",1993-09-03,258506,64,false,skatterbrainz,2025-12-07T23:01:02Z,"east coast hip hop,old school hip hop,hip hop,hardcore hip hop","Jive",0.794,0.95,1,-8.78,1,0.294,0.124,0.0000771,0.133,0.324,94.984,4
spotify:track:6mz1fBdKATx6qP4oP1I65G,"Pony","R&B: From Doo-Wop To Hip-Hop","Ginuwine",1999-10-08,251733,73,true,skatterbrainz,2025-12-07T23:01:10Z,"r&b","Sony Music Entertainment",0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,4
spotify:track:1k28sDTLOz942qa3wEtMQE,"O.P.P","Naughty By Nature","Naughty By Nature",1991-09-03,271066,66,false,skatterbrainz,2025-12-07T23:01:21Z,"old school hip hop,east coast hip hop","Tommy Boy Music, LLC",0.848,0.838,4,-11.949,0,0.0721,0.0326,0.00000489,0.124,0.787,97.736,4
