Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:26uzS4AhDPEYbGwcWFWB2O,"Take Me Back To Piauí","Muito Vivo","Juca Chaves",1972-01-01,196506,48,false,skatterbrainz,2025-12-07T22:20:54Z,"","Som Livre",0.672,0.485,5,-13.055,0,0.0786,0.556,0,0.0928,0.819,91.815,4
spotify:track:4CeHrAL1fGUi94RIk3Z2H2,"7 heures du matin","Jacqueline Taïeb","Jacqueline Taieb",1967-04-03,136933,52,false,skatterbrainz,2025-12-07T22:21:19Z,"french pop","Anthology's",0.57,0.586,0,-7.24,1,0.0335,0.135,0.000288,0.316,0.748,61.073,3
spotify:track:6vcG9EgeqJUSmmF65lxUm6,"One Fine Day","The Chiffons Absolutely The Best!","The Chiffons",2004-10-02,128199,59,false,skatterbrainz,2025-12-07T22:21:33Z,"doo-wop,motown","Capitol Records",0.251,0.868,1,-2.685,1,0.128,0.488,0.00000734,0.814,0.599,177.13,4
spotify:track:3CqaTHbiU2nBy3Ar9RnDHN,"Baddy On The Floor","Baddy On The Floor","Jamie xx;Honey Dijon",2024-04-15,222315,57,true,skatterbrainz,2025-12-07T22:21:42Z,"","Young",0.652,0.877,6,-6.281,0,0.0339,0.00307,0.699,0.186,0.562,124.024,4
spotify:track:3FiPLOhNiB2Ox4ut1jJxE2,"Set The Roof","Set The Roof","Hudson Mohawke;Nikki Nair;Tayla Parx",2023-05-24,268779,38,false,skatterbrainz,2025-12-07T22:22:12Z,"breakbeat,uk garage,footwork","Warp Records",0.847,0.677,8,-6.202,1,0.31,0.00377,0.0188,0.192,0.55,133.876,4
spotify:track:4qq73N1TKocRaYGQS23b9u,"Fake ID","Foreign Ororo (Special Edition)","Riton;Kah-Lo",2018-10-26,246970,1,false,skatterbrainz,2025-12-07T22:23:25Z,"house","Last Gang",0.746,0.862,8,-6.11,1,0.0776,0.21,0.0363,0.225,0.604,122.011,4
spotify:track:7ehawMu8e3ipoY7stfct5M,"Wile Out","Wile Out","DJ Zinc;Ms. Dynamite",2010-02-07,299011,45,false,skatterbrainz,2025-12-07T22:23:45Z,"drum and bass,bassline,jungle,uk garage,bass house","Bingo Bass",0.828,0.855,9,-4.224,0,0.138,0.437,0.0000127,0.833,0.566,129.972,4
spotify:track:6J6QyLMIoToFr1VvDpt8jo,"Neighbourhood - Radio Mix","Neighbourhood","Zed Bias",2000-07-03,215213,45,false,skatterbrainz,2025-12-07T22:23:50Z,"uk garage,uk funky,bassline","XL Recordings",0.774,0.867,0,-8.164,1,0.342,0.345,0.000544,0.366,0.703,129.691,4
spotify:track:7B0gxo0jQCy5Lk93RIODAC,"Baianá","Baianá","Nia Archives",2022-09-30,152558,59,false,skatterbrainz,2025-12-07T22:24:09Z,"jungle,drum and bass,uk garage","HIJINXX/Island",0.527,0.875,2,-6.316,1,0.121,0.00217,0.539,0.0837,0.377,169.954,4
spotify:track:4GdB5M7GbwLZLouktYocFC,"SpottieOttieDopaliscious","Aquemini","Outkast",1998-09-29,426859,60,true,skatterbrainz,2025-12-07T22:24:56Z,"southern hip hop,hip hop","Arista/LaFace Records",0.828,0.656,1,-6.571,1,0.222,0.00259,0.0024,0.144,0.709,124.751,4
spotify:track:4E0teOQQQwagLVvQ7VfYm1,"Drogba (Joanna)","Afrowave 2","Afro B",2018-07-06,199000,0,false,skatterbrainz,2025-12-07T22:25:25Z,"afrobeats,afrobeat,afroswing,dancehall,soca,afropop","Marathon Artists",0.966,0.633,2,-6.392,1,0.101,0.0206,0.00000406,0.0715,0.767,108.011,4
spotify:track:74LujaXmzGQi5wRZ2HFh0G,"Holy Mountain (feat. Buju Banton, Sizzla, Mavado & 070 Shake)","Father Of Asahd","DJ Khaled;Buju Banton;Sizzla;Mavado;070 Shake",2019-05-17,294800,44,true,skatterbrainz,2025-12-07T22:26:19Z,"reggae,dancehall,ragga,lovers rock,roots reggae,soca,riddim","Epic/We The Best",0.579,0.8,6,-3.152,1,0.367,0.166,0,0.963,0.604,145.53,4
spotify:track:4xYTwN5Iu6iBlv6yHyVw9f,"RASCAL","RASCAL","RMR",2020-02-26,183497,0,true,skatterbrainz,2025-12-07T22:26:47Z,"","RMR HAS IT",0.539,0.317,1,-7.386,1,0.033,0.885,0,0.0878,0.449,72.118,4
spotify:track:07xpeB1txX9bPKTwkuflMg,"John Cena","John Cena","Sho Madjozi",2019-09-27,181422,0,false,skatterbrainz,2025-12-07T22:27:08Z,"gqom,amapiano,bongopiano,afrobeats,afropop,gengetone,afrobeat,afropiano","Flourish and Multiply",0.9,0.61,11,-9.051,0,0.114,0.0366,0.0000413,0.0979,0.673,127.149,4
spotify:track:6iOvnACn4ChlAw4lWUU4dd,"Go To Town","Amala","Doja Cat",2018-03-30,217806,60,true,skatterbrainz,2025-12-07T22:27:33Z,"","MAU Records",0.71,0.71,0,-2.474,1,0.0579,0.0716,0.00000107,0.206,0.7,169.944,4
spotify:track:3EQ9QP2E7wjYQba8OSPBst,"Intro","Championships","Meek Mill",2018-11-30,213402,56,true,skatterbrainz,2025-12-07T22:28:06Z,"rap","MMG/Atlantic",0.678,0.76,1,-5.546,1,0.221,0.0557,0,0.359,0.24,96.044,4
spotify:track:01ShR27k9q9BImUdtewPNl,"GarageSkankFREESTYLE","Made in the Manor","Kano",2016-03-04,283506,46,true,skatterbrainz,2025-12-07T22:29:08Z,"grime,uk grime","Parlophone UK",0.343,0.885,3,-5.044,0,0.393,0.00172,0.00992,0.495,0.647,178.557,5
spotify:track:0t2myRMEMCi2SRyg5TEFLp,"Love$ick","Love$ick","Mura Masa;A$AP Rocky",2016-09-30,192154,0,true,skatterbrainz,2025-12-07T22:29:27Z,"rap","Universal Music Division Mercury Records",0.65,0.776,6,-5.059,1,0.139,0.138,0.00417,0.27,0.772,88.89,4
spotify:track:2SiXAy7TuUkycRVbbWDEpo,"You Shook Me All Night Long","Back In Black","AC/DC",1980-07-25,210328,83,false,skatterbrainz,2025-12-07T22:32:48Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
spotify:track:56NkIxSZZiMpFP5ZNSxtnT,"Someday","Is This It","The Strokes",2001-07-30,183573,72,false,skatterbrainz,2025-12-07T22:33:09Z,"garage rock,alternative rock,indie rock","RCA Records Label",0.542,0.531,9,-7.481,1,0.0301,0.0033,0.00000151,0.338,0.671,105.97,4
spotify:track:1FS21kclHQ2vVi3U1ZxETc,"Praise You","You've Come a Long Way Baby","Fatboy Slim",1998-10-19,324240,68,false,skatterbrainz,2025-12-07T22:37:54Z,"big beat","Skint Records",0.603,0.893,1,-8.657,1,0.0484,0.0901,0.268,0.194,0.516,109.711,4
spotify:track:66hayvUbTotekKU3H4ta1f,"Where Are Ü Now (with Justin Bieber)","Skrillex and Diplo present Jack Ü","Jack Ü;Skrillex;Diplo;Justin Bieber",2015-02-24,250285,77,false,skatterbrainz,2025-12-07T22:40:38Z,"dubstep,edm,electro,electronic,moombahton","OWSLA/Mad Decent",0.432,0.781,4,-4.038,0,0.0567,0.041,0.00000421,0.0789,0.197,139.432,4
